run_id,robot_id,t_laptop,source_stamp,x,y,theta
run_001,duck2,83614.879879473,83614.8579551,1.770079224,2.426110596,-0.271110752
run_001,duck2,83614.913305112,83614.891595792,1.770051758,2.426105957,-0.271349500
run_001,duck2,83614.946710212,83614.923754466,1.770069336,2.426105957,-0.271322156
run_001,duck2,83614.980203628,83614.965708689,1.770081177,2.426100830,-0.271342167
run_001,duck2,83615.013608473,83614.999302833,1.770055908,2.426128662,-0.271262943
run_001,duck2,83615.046980600,83615.032515859,1.770078125,2.426116211,-0.271008823
run_001,duck2,83615.080415497,83615.064821372,1.770068970,2.426113525,-0.271312814
run_001,duck2,83615.113797623,83615.098139287,1.770067261,2.426116699,-0.271424447
run_001,duck2,83615.147204978,83615.13145901,1.770079590,2.426123291,-0.270894259
run_001,duck2,83615.180614038,83615.166181498,1.770045532,2.426096191,-0.271245207
run_001,duck2,83615.214095805,83615.198679595,1.770068115,2.426106201,-0.271334790
run_001,duck2,83615.247551604,83615.23148651,1.770075317,2.426118896,-0.271070353
run_001,duck2,83615.280883339,83615.265939943,1.770066650,2.426122803,-0.271167288
run_001,duck2,83615.314251659,83615.306393304,1.770076538,2.426115479,-0.271057548
run_001,duck2,83615.347685435,83615.33993846,1.770077637,2.426115234,-0.270992837
run_001,duck2,83615.381118302,83615.374401923,1.770064453,2.426109375,-0.271274351
run_001,duck2,83615.414466087,83615.406639914,1.770077271,2.426115723,-0.271373977
run_001,duck2,83615.447911390,83615.439779258,1.770054565,2.426117920,-0.270987007
run_001,duck2,83615.481280996,83615.47355599,1.770083862,2.426121338,-0.271164643
run_001,duck2,83615.514695920,83615.50630704,1.770068115,2.426109131,-0.271192614
run_001,duck2,83615.548100045,83615.540058804,1.770070923,2.426107910,-0.271211145
run_001,duck2,83615.581547442,83615.573851647,1.770022461,2.426145020,-0.271430437
run_001,duck2,83615.614942875,83615.607033753,1.770061157,2.426137451,-0.271181847
run_001,duck2,83615.648384101,83615.641485309,1.770072021,2.426133301,-0.271128060
run_001,duck2,83615.681778511,83615.681351103,1.770063232,2.426116943,-0.271023383
run_001,duck2,83615.748615317,83615.714666635,1.770058228,2.426125244,-0.271160485
run_001,duck2,83615.782046024,83615.748457314,1.770055786,2.426105225,-0.271194890
run_001,duck2,83615.815480046,83615.781911722,1.770047729,2.426121826,-0.271225873
run_001,duck2,83615.848875414,83615.816919458,1.770037964,2.426092285,-0.271540028
run_001,duck2,83615.882304542,83615.849040299,1.770051392,2.426095947,-0.271095467
run_001,duck2,83615.915733291,83615.881518305,1.770062744,2.426108643,-0.271037882
run_001,duck2,83615.949214080,83615.915529618,1.770064697,2.426087402,-0.271573583
run_001,duck2,83615.982583313,83615.948791685,1.770026367,2.426158936,-0.271438090
